name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Agua De Beber,Astrud Gilberto,0.645,0.357,4,-15.628,0,0.0356,0.426,0.0,0.0727,0.86,147.846,139253,4
Agua De Beber,Sophie Milman,0.66,0.759,7,-8.55,1,0.0437,0.243,0.00227,0.0756,0.7,94.477,235800,4
Lá Vem O Brasil Descendo A Ladeira,Moraes Moreira,0.677,0.94,11,-6.606,0,0.0764,0.387,0.0,0.0846,0.824,166.501,176680,4
Amiga Da Minha Mulher,Seu Jorge,0.788,0.916,9,-5.152,0,0.121,0.714,0.0,0.0867,0.829,104.015,248080,4
O Leãozinho,Caetano Veloso,0.57,0.16,0,-17.201,1,0.0498,0.896,1.39e-05,0.158,0.56,126.564,186307,4
Já Sei Namorar - 2004 Digital Remaster,Tribalistas,0.67,0.822,9,-6.687,0,0.057,0.67,0.00115,0.132,0.833,145.56,196987,4
Coração Vagabundo,Gal Costa,0.577,0.312,0,-13.453,0,0.0448,0.785,0.0976,0.138,0.372,80.698,143427,1
Fotografia,Vanessa Da Mata,0.715,0.309,9,-12.395,0,0.0315,0.733,0.00455,0.172,0.563,98.071,146373,4
Fotografia,João Gilberto,0.437,0.197,4,-17.95,1,0.0433,0.958,3.84e-05,0.172,0.542,133.717,142002,3
"Rosa, Menina Rosa",Jorge Ben Jor,0.584,0.641,2,-7.415,0,0.0886,0.376,0.0,0.118,0.732,96.264,135773,4
Fado Toninho,Deolinda,0.692,0.21,0,-9.525,1,0.0427,0.865,0.0,0.16,0.743,77.878,127400,4
Mal Por Mal,Deolinda,0.645,0.267,2,-10.552,1,0.0631,0.623,0.000725,0.11,0.389,146.339,171427,4
Violão Vadio,Raphael Rabello,0.364,0.0884,5,-21.309,1,0.041,0.927,0.645,0.127,0.152,89.235,335993,4
Chorinho Pra Voce,Paulo Moura,0.654,0.4,9,-13.302,0,0.0405,0.784,0.799,0.0997,0.85,106.451,455507,4
Chorando Baixinho,Raphael Rabello,0.492,0.102,2,-18.447,0,0.0613,0.916,0.0222,0.0914,0.573,205.863,290853,4
Samba da Bênção,Maria Bethânia,0.597,0.549,0,-11.817,1,0.0543,0.372,0.000923,0.0992,0.866,159.381,182160,4
Acabou Chorare,Sílvia Pérez Cruz,0.59,0.148,2,-13.962,1,0.0543,0.974,0.0134,0.109,0.292,100.663,210453,4
Ui! (Voce Inventa),Tom Zé,0.747,0.15,2,-17.645,1,0.112,0.588,6.19e-05,0.12,0.817,84.132,181707,4
"Augusta, Angélica e Consolação",Tom Zé,0.656,0.375,5,-10.531,1,0.0631,0.699,3.62e-06,0.155,0.83,137.981,224867,4
Todos os olhos,Tom Zé,0.816,0.416,5,-8.26,1,0.0572,0.663,7.07e-05,0.0954,0.933,124.823,210573,4
Vai (Menina amanhã de manhã),Tom Zé,0.671,0.63,5,-10.367,1,0.237,0.885,0.0,0.132,0.794,127.645,175133,4
Desde Que o Samba é Samba,Gilberto Gil,0.789,0.268,6,-15.776,0,0.048,0.822,0.177,0.111,0.683,125.185,256747,4
Insensatez: A Mulher Que Fez,Graveola,0.789,0.486,3,-11.171,1,0.0538,0.32,0.0,0.108,0.947,92.579,143387,4
Ponto De Marinheiro / Marinheiro Só,Zé Maurício Machline,0.775,0.509,2,-11.966,1,0.125,0.559,0.0,0.332,0.831,97.05,169080,4
Tanto Mar,Chico Buarque,0.427,0.504,7,-8.1,1,0.0603,0.645,2.68e-05,0.178,0.885,180.328,114907,3
Diz Que Eu Fui Por Aí,Eva Fernández,0.689,0.448,10,-9.83,0,0.0722,0.866,0.0033,0.0963,0.498,89.225,231802,4
The Storms Are On The Ocean,Great Lake Swimmers,0.531,0.457,5,-8.714,1,0.0261,0.807,0.0,0.111,0.468,142.151,245747,3
